,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5938,0.43510799407958983,0.019129853626778087,0.02579813003540039,0.0019292755958854565,6,30,87,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 87}",0.3683465939546877,0.43975269081155544,0.31273701987284486,0.42382045246901134,0.47814590652094235,0.4045605327258083,0.05790897445093162,9143
5939,0.4262677192687988,0.01331971961004279,0.025201034545898438,0.001882653099668083,6,30,88,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 88}",0.36437389180530866,0.43110859400721124,0.3083646625732974,0.4158158294224482,0.47326149860326927,0.398584895282307,0.05699363877244128,9372
5940,0.4338590145111084,0.023250070458356562,0.025584697723388672,0.000596227370460249,6,30,89,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 89}",0.35423381474237003,0.4300505256901842,0.3060830633787679,0.408606274569995,0.4651403100832576,0.39282279769291495,0.05635199301984202,9537
5941,0.462691593170166,0.011943211938591098,0.02688755989074707,0.002684741188056161,6,30,90,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 90}",0.3512449685516099,0.4253429859602045,0.2976316838691936,0.4077297151099911,0.47471576672393867,0.39133302404298753,0.06126206674280559,9572
5942,0.45495195388793946,0.021677065358882558,0.02752971649169922,0.002074759950225455,6,30,91,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 91}",0.3490222743622261,0.42867948542563517,0.29411479422928233,0.40462787462470207,0.48644396138644863,0.39257767800565885,0.06610815314523916,9546
5943,0.4392902374267578,0.003122762601691423,0.026333379745483398,0.0017327479046662958,6,30,92,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 92}",0.35228846699690997,0.42480876002939516,0.2967707732244246,0.4043843971427197,0.48515909407255364,0.3926822982932006,0.0641119156890494,9543
5944,0.46404666900634767,0.011422330598494932,0.02882828712463379,0.004639907331917264,6,30,93,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 93}",0.3532687464036648,0.4240360529246797,0.2915315028044869,0.4016189933411344,0.49061783301674755,0.3922146256981426,0.0669897146160897,9552
5945,0.4590433597564697,0.02243754944279787,0.027852392196655272,0.0022180706505548417,6,30,94,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 94}",0.35512687127356024,0.41981138067260815,0.2908638099204368,0.3996508761233811,0.4882640457051044,0.3907433967390182,0.06584684746135544,9592
5946,0.4671185493469238,0.014879641517793587,0.029926872253417967,0.004046954514037204,6,30,95,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 95}",0.35135182155336664,0.41873747428538177,0.2837195288047911,0.3987599264762621,0.49292514356301553,0.38909877893656347,0.06968690432976972,9650
5947,0.4773865222930908,0.013425701589631089,0.035626697540283206,0.006233577194312008,6,30,96,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 96}",0.35165370401445506,0.4172258606840149,0.2812385796563128,0.3980318799781968,0.49390508674461997,0.3884110222155199,0.07055336470554176,9669
5948,0.49094138145446775,0.014397730187482496,0.027241039276123046,0.0007089015909991677,6,30,97,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 97}",0.35242441077618347,0.4126845795411268,0.28155292441408675,0.39929543657460453,0.486030762031463,0.3863976226674929,0.06772106030303816,9714
5949,0.47982110977172854,0.01675413175982037,0.027203750610351563,0.0008318730070155694,6,30,98,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 98}",0.3583516958381344,0.417803680452418,0.28343706104269395,0.4011037567853841,0.48490203732955206,0.3891196462896365,0.06671751607038824,9643
5950,0.5188134670257568,0.03075559362938405,0.028870344161987305,0.0012864572096302567,6,30,99,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 99}",0.3546096163749122,0.41936340086623025,0.2840306166324673,0.4044688278514428,0.4906722224464478,0.39062893683430006,0.06882799476790093,9595
5951,0.4962970733642578,0.03051713857162843,0.028411340713500977,0.003770021563717853,6,30,100,"{'max_depth': 6, 'max_features': 30, 'n_estimators': 100}",0.36012990376844545,0.4268338696311035,0.2893348015801802,0.40692037770101397,0.4872652929200548,0.3940968491201596,0.0664008347817818,9491
5952,0.041625165939331056,0.002183833243606729,0.007183837890625,0.0012754529175007371,6,50,5,"{'max_depth': 6, 'max_features': 50, 'n_estimators': 5}",0.3125667450328503,0.5322980495443367,0.3788049254228373,0.24401843740625173,0.4852972473537823,0.3905970809520117,0.10654611491361145,9603
5953,0.05163307189941406,0.003969332215023948,0.007674503326416016,0.0008686651334506523,6,50,6,"{'max_depth': 6, 'max_features': 50, 'n_estimators': 6}",0.39428720550069274,0.6194700051249257,0.2797004686034754,0.20613875571125284,0.49684254149162976,0.39928779528639524,0.14807418419611065,9348
5954,0.05455970764160156,0.007549186787393349,0.007684087753295899,0.001018839072631245,6,50,7,"{'max_depth': 6, 'max_features': 50, 'n_estimators': 7}",0.3335542363374525,0.675629330193244,0.23770804377597743,0.25866343212173626,0.4575161175046436,0.3926142319866107,0.1610817355091337,9544
5955,0.058783531188964844,0.00410691978658738,0.010490798950195312,0.0026831321212901125,6,50,8,"{'max_depth': 6, 'max_features': 50, 'n_estimators': 8}",0.29264858953372075,0.6686675835182474,0.20625532242599653,0.29588588164314944,0.5309363383165062,0.398878743087524,0.17275496178027916,9362
